n,time_ms
1,0.003
2,0.000
3,0.000
4,0.000
5,0.001
6,0.000
7,0.000
8,0.000
9,0.001
10,0.000
11,0.001
12,0.001
13,0.001
14,0.000
15,0.001
16,0.001
17,0.001
18,0.001
19,0.001
20,0.001
21,0.001
22,0.001
23,0.001
24,0.001
25,0.001
26,0.001
27,0.001
28,0.001
29,0.001
30,0.001
31,0.002
32,0.001
33,0.001
34,0.001
35,0.001
36,0.001
37,0.001
38,0.002
39,0.001
40,0.001
41,0.001
42,0.001
43,0.001
44,0.001
45,0.002
46,0.003
47,0.002
48,0.001
49,0.002
50,0.002
51,0.002
52,0.002
53,0.002
54,0.002
55,0.002
56,0.001
57,0.001
58,0.001
59,0.001
60,0.001
61,0.004
62,0.002
63,0.002
64,0.002
65,0.002
66,0.001
67,0.002
68,0.002
69,0.001
70,0.002
71,0.003
72,0.002
73,0.002
74,0.002
75,0.002
76,0.002
77,0.002
78,0.002
79,0.002
80,0.002
81,0.002
82,0.002
83,0.002
84,0.002
85,0.002
86,0.002
87,0.002
88,0.002
89,0.002
90,0.002
91,0.002
92,0.002
93,0.002
94,0.002
95,0.002
96,0.003
97,0.002
98,0.003
99,0.002
100,0.003
101,0.002
102,0.002
103,0.002
104,0.002
105,0.002
106,0.002
107,0.002
108,0.002
109,0.002
110,0.002
111,0.002
112,0.002
113,0.002
114,0.002
115,0.002
116,0.002
117,0.003
118,0.003
119,0.003
120,0.003
121,0.003
122,0.003
123,0.003
124,0.003
125,0.003
126,0.003
127,0.003
128,0.003
129,0.003
130,0.003
131,0.003
132,0.003
133,0.003
134,0.003
135,0.003
136,0.005
137,0.003
138,0.003
139,0.003
140,0.003
141,0.003
142,0.003
143,0.003
144,0.003
145,0.004
146,0.004
147,0.003
148,0.004
149,0.003
150,0.003
151,0.003
152,0.003
153,0.003
154,0.003
155,0.003
156,0.004
157,0.003
158,0.003
159,0.003
160,0.003
161,0.003
162,0.003
163,0.003
164,0.003
165,0.003
166,0.003
167,0.004
168,0.005
169,0.004
170,0.005
171,0.006
172,0.004
173,0.004
174,0.004
175,0.004
176,0.007
177,0.005
178,0.004
179,0.004
180,0.004
181,0.004
182,0.005
183,0.004
184,0.005
185,0.009
186,0.008
187,0.004
188,0.005
189,0.004
190,0.004
191,0.004
192,0.004
193,0.004
194,0.005
195,0.005
196,0.004
197,0.004
198,0.004
199,0.004
200,0.004
201,0.004
202,0.004
203,0.004
204,0.007
205,0.004
206,0.004
207,0.004
208,0.004
209,0.004
210,0.005
211,0.005
212,0.004
213,0.005
214,0.005
215,0.004
216,0.004
217,0.004
218,0.004
219,0.005
220,0.004
221,0.004
222,0.005
223,0.004
224,0.004
225,0.005
226,0.005
227,0.004
228,0.005
229,0.004
230,0.005
231,0.005
232,0.004
233,0.005
234,0.006
235,0.004
236,0.004
237,0.004
238,0.005
239,0.005
240,0.005
241,0.004
242,0.005
243,0.005
244,0.006
245,0.005
246,0.005
247,0.005
248,0.004
249,0.004
250,0.005
251,0.005
252,0.005
253,0.005
254,0.005
255,0.006
256,0.005
257,0.004
258,0.005
259,0.005
260,0.005
261,0.005
262,0.005
263,0.005
264,0.005
265,0.005
266,0.005
267,0.006
268,0.005
269,0.005
270,0.005
271,0.005
272,0.005
273,0.006
274,0.005
275,0.005
276,0.004
277,0.006
278,0.005
279,0.005
280,0.005
281,0.005
282,0.005
283,0.005
284,0.006
285,0.006
286,0.006
287,0.006
288,0.005
289,0.006
290,0.005
291,0.005
292,0.005
293,0.005
294,0.006
295,0.006
296,0.005
297,0.010
298,0.005
299,0.005
300,0.006
301,0.006
302,0.006
303,0.005
304,0.006
305,0.006
306,0.006
307,0.006
308,0.006
309,0.007
310,0.006
311,0.006
312,0.006
313,0.006
314,0.006
315,0.006
316,0.006
317,0.005
318,0.006
319,0.006
320,0.008
321,0.006
322,0.006
323,0.006
324,0.006
325,0.006
326,0.006
327,0.006
328,0.010
329,0.006
330,0.007
331,0.006
332,0.007
333,0.006
334,0.006
335,0.006
336,0.007
337,0.006
338,0.006
339,0.007
340,0.006
341,0.008
342,0.007
343,0.006
344,0.006
345,0.006
346,0.007
347,0.007
348,0.006
349,0.007
350,0.013
351,0.006
352,0.006
353,0.007
354,0.007
355,0.007
356,0.012
357,0.006
358,0.007
359,0.006
360,0.006
361,0.006
362,0.006
363,0.007
364,0.007
365,0.006
366,0.007
367,0.007
368,0.007
369,0.006
370,0.007
371,0.006
372,0.009
373,0.006
374,0.007
375,0.007
376,0.007
377,0.007
378,0.007
379,0.007
380,0.007
381,0.011
382,0.007
383,0.009
384,0.007
385,0.008
386,0.014
387,0.007
388,0.007
389,0.008
390,0.007
391,0.009
392,0.007
393,0.007
394,0.007
395,0.007
396,0.007
397,0.008
398,0.008
399,0.007
400,0.009
401,0.009
402,0.008
403,0.008
404,0.007
405,0.007
406,0.007
407,0.007
408,0.007
409,0.010
410,0.009
411,0.010
412,0.010
413,0.011
414,0.011
415,0.009
416,0.010
417,0.015
418,0.009
419,0.009
420,0.009
421,0.010
422,0.011
423,0.011
424,0.011
425,0.010
426,0.010
427,0.011
428,0.011
429,0.011
430,0.012
431,0.010
432,0.010
433,0.011
434,0.010
435,0.012
436,0.011
437,0.010
438,0.015
439,0.011
440,0.015
441,0.010
442,0.010
443,0.010
444,0.011
445,0.011
446,0.011
447,0.010
448,0.011
449,0.011
450,0.011
451,0.011
452,0.011
453,0.011
454,0.011
455,0.011
456,0.009
457,0.011
458,0.011
459,0.011
460,0.011
461,0.010
462,0.012
463,0.049
464,0.011
465,0.011
466,0.021
467,0.012
468,0.011
469,0.011
470,0.011
471,0.011
472,0.011
473,0.011
474,0.011
475,0.012
476,0.012
477,0.009
478,0.009
479,0.009
480,0.009
481,0.008
482,0.019
483,0.011
484,0.011
485,0.012
486,0.013
487,0.012
488,0.013
489,0.012
490,0.017
491,0.012
492,0.012
493,0.014
494,0.013
495,0.012
496,0.009
497,0.010
498,0.009
499,0.009
500,0.009
