n,time_ms
1,0.000
2,0.001
3,0.000
4,0.000
5,0.000
6,0.001
7,0.001
8,0.001
9,0.001
10,0.001
11,0.001
12,0.001
13,0.001
14,0.001
15,0.001
16,0.001
17,0.002
18,0.002
19,0.002
20,0.002
21,0.002
22,0.003
23,0.003
24,0.003
25,0.003
26,0.003
27,0.003
28,0.003
29,0.003
30,0.004
31,0.004
32,0.004
33,0.004
34,0.004
35,0.005
36,0.005
37,0.005
38,0.006
39,0.006
40,0.008
41,0.006
42,0.006
43,0.007
44,0.007
45,0.007
46,0.007
47,0.008
48,0.008
49,0.008
50,0.008
51,0.008
52,0.009
53,0.009
54,0.010
55,0.010
56,0.021
57,0.010
58,0.011
59,0.018
60,0.011
61,0.012
62,0.012
63,0.012
64,0.013
65,0.013
66,0.013
67,0.014
68,0.014
69,0.014
70,0.015
71,0.015
72,0.016
73,0.016
74,0.017
75,0.017
76,0.017
77,0.018
78,0.018
79,0.019
80,0.019
81,0.022
82,0.020
83,0.022
84,0.021
85,0.023
86,0.021
87,0.024
88,0.022
89,0.023
90,0.023
91,0.024
92,0.025
93,0.025
94,0.026
95,0.026
96,0.026
97,0.028
98,0.028
99,0.031
100,0.029
101,0.029
102,0.030
103,0.030
104,0.031
105,0.032
106,0.032
107,0.033
108,0.033
109,0.034
110,0.035
111,0.050
112,0.036
113,0.036
114,0.037
115,0.038
116,0.038
117,0.038
118,0.039
119,0.040
120,0.042
121,0.041
122,0.042
123,0.051
124,0.043
125,0.044
126,0.045
127,0.045
128,0.046
129,0.046
130,0.047
131,0.048
132,0.048
133,0.049
134,0.050
135,0.051
136,0.051
137,0.052
138,0.053
139,0.054
140,0.054
141,0.055
142,0.055
143,0.056
144,0.057
145,0.078
146,0.059
147,0.074
148,0.061
149,0.061
150,0.064
151,0.063
152,0.063
153,0.065
154,0.065
155,0.066
156,0.067
157,0.068
158,0.097
159,0.082
160,0.070
161,0.071
162,0.072
163,0.073
164,0.074
165,0.075
166,0.076
167,0.076
168,0.077
169,0.079
170,0.079
171,0.080
172,0.081
173,0.082
174,0.083
175,0.084
176,0.085
177,0.086
178,0.087
179,0.088
180,0.089
181,0.090
182,0.091
183,0.092
184,0.093
185,0.094
186,0.095
187,0.098
188,0.144
189,0.098
190,0.099
191,0.100
192,0.101
193,0.102
194,0.103
195,0.104
196,0.105
197,0.106
198,0.109
199,0.108
200,0.110
201,0.111
202,0.112
203,0.112
204,0.113
205,0.115
206,0.117
207,0.117
208,0.130
209,0.120
210,0.120
211,0.121
212,0.122
213,0.123
214,0.127
215,0.126
216,0.127
217,0.128
218,0.129
219,0.130
220,0.144
221,0.132
222,0.134
223,0.137
224,0.136
225,0.194
226,0.140
227,0.140
228,0.142
229,0.159
230,0.143
231,0.145
232,0.146
233,0.149
234,0.148
235,0.220
236,0.198
237,0.152
238,0.156
239,0.236
240,0.163
241,0.157
242,0.158
243,0.160
244,0.167
245,0.162
246,0.164
247,0.165
248,0.166
249,0.208
250,0.169
251,0.170
252,0.173
253,0.172
254,0.174
255,0.236
256,0.231
257,0.178
258,0.221
259,0.180
260,0.183
261,0.183
262,0.185
263,0.187
264,0.188
265,0.189
266,0.191
267,0.195
268,0.193
269,0.194
270,0.206
271,0.200
272,0.201
273,0.200
274,0.202
275,0.203
276,0.206
277,0.206
278,0.216
279,0.209
280,0.210
281,0.212
282,0.213
283,0.215
284,0.216
285,0.219
286,0.219
287,0.221
288,0.223
289,0.224
290,0.225
291,0.228
292,0.309
293,0.230
294,0.232
295,0.233
296,0.234
297,0.238
298,0.239
299,0.239
300,0.240
301,0.242
302,0.246
303,0.246
304,0.251
305,0.248
306,0.252
307,0.251
308,0.254
309,0.257
310,0.264
311,0.282
312,0.265
313,0.261
314,0.263
315,0.265
316,0.268
317,0.268
318,0.288
319,0.272
320,0.274
321,0.275
322,0.277
323,0.281
324,0.282
325,0.281
326,0.284
327,0.302
328,0.287
329,0.288
330,0.290
331,0.292
332,0.297
333,0.295
334,0.298
335,0.300
336,0.301
337,0.304
338,0.304
339,0.308
340,0.307
341,0.310
342,0.313
343,0.334
344,0.317
345,0.319
346,0.321
347,0.320
348,0.321
349,0.324
350,0.327
351,0.329
352,0.329
353,0.331
354,0.335
355,0.337
356,0.336
357,0.342
358,0.344
359,0.343
360,0.344
361,0.346
362,0.348
363,0.352
364,0.361
365,0.424
366,0.358
367,0.358
368,0.360
369,0.361
370,0.366
371,0.367
372,0.394
373,0.385
374,0.375
375,0.373
376,0.377
377,0.379
378,0.381
379,0.383
380,0.474
381,0.385
382,0.387
383,0.389
384,0.393
385,0.395
386,0.409
387,0.400
388,0.401
389,0.401
390,0.408
391,0.411
392,0.410
393,0.412
394,0.504
395,0.416
396,0.417
397,0.419
398,0.422
399,0.423
400,0.428
401,0.431
402,0.431
403,0.433
404,0.434
405,0.443
406,0.438
407,0.455
408,0.444
409,0.488
410,0.447
411,0.449
412,0.451
413,0.456
414,0.457
415,0.467
416,0.459
417,0.460
418,0.462
419,0.464
420,0.469
421,0.475
422,0.476
423,0.474
424,0.478
425,0.479
426,0.482
427,0.487
428,0.710
429,0.486
430,0.492
431,0.491
432,0.504
433,0.499
434,0.499
435,0.502
436,0.505
437,0.505
438,0.511
439,0.555
440,0.517
441,0.514
442,0.516
443,0.528
444,0.523
445,0.543
446,0.530
447,0.528
448,0.533
449,0.535
450,0.598
451,0.540
452,0.540
453,0.545
454,0.547
455,0.549
456,0.751
457,0.561
458,0.558
459,0.556
460,0.559
461,0.571
462,0.822
463,0.620
464,0.571
465,0.574
466,0.576
467,0.707
468,0.586
469,0.584
470,0.586
471,0.590
472,0.650
473,0.594
474,0.930
475,0.946
476,0.960
477,0.696
478,0.624
479,1.037
480,0.853
481,1.106
482,0.634
483,0.646
484,0.648
485,0.647
486,0.648
487,0.651
488,0.692
489,0.754
490,0.661
491,0.702
492,0.734
493,0.999
494,0.699
495,0.678
496,0.719
497,0.696
498,0.678
499,0.681
500,0.682
