n,time_ms
4710,0.060
4720,0.060
4730,0.061
4740,0.064
4750,0.062
4760,0.061
4770,0.062
4780,0.061
4790,0.062
4800,0.063
4810,0.083
4820,0.062
4830,0.060
4840,0.063
4850,0.064
4860,0.061
4870,0.063
4880,0.066
4890,0.063
4900,0.064
4910,0.074
4920,0.065
4930,0.076
4940,0.068
4950,0.065
4960,0.065
4970,0.066
4980,0.063
4990,0.064
5000,0.064
5010,0.065
5020,0.074
5030,0.066
5040,0.066
5050,0.079
5060,0.065
5070,0.072
5080,0.066
5090,0.067
5100,0.065
5110,0.064
5120,0.068
5130,0.064
5140,0.067
5150,0.066
5160,0.068
5170,0.064
5180,0.069
5190,0.067
5200,0.066
5210,0.069
5220,0.066
5230,0.068
5240,0.069
5250,0.065
5260,0.068
5270,0.067
5280,0.068
5290,0.078
5300,0.071
5310,0.068
5320,0.071
5330,0.069
5340,0.068
5350,0.071
5360,0.067
5370,0.086
5380,0.071
5390,0.076
5400,0.078
5410,0.071
5420,0.073
5430,0.070
5440,0.069
5450,0.071
5460,0.069
5470,0.068
5480,0.069
5490,0.071
5500,0.070
5510,0.071
5520,0.070
5530,0.074
5540,0.074
5550,0.072
5560,0.071
5570,0.070
5580,0.072
5590,0.071
5600,0.071
5610,0.078
5620,0.071
5630,0.079
5640,0.088
5650,0.093
5660,0.071
5670,0.073
5680,0.072
5690,0.074
5700,0.073
5710,0.073
5720,0.074
5730,0.074
5740,0.073
5750,0.074
5760,0.074
5770,0.076
5780,0.076
5790,0.077
5800,0.076
5810,0.073
5820,0.074
5830,0.073
5840,0.076
5850,0.074
5860,0.099
5870,0.073
5880,0.143
5890,0.076
5900,0.075
5910,0.092
5920,0.103
5930,0.075
5940,0.074
5950,0.076
5960,0.076
5970,0.078
5980,0.079
5990,0.075
6000,0.086
6010,0.086
6020,0.077
6030,0.077
6040,0.079
6050,0.078
6060,0.077
6070,0.077
6080,0.079
6090,0.076
6100,0.090
6110,0.080
6120,0.080
6130,0.079
6140,0.078
6150,0.079
6160,0.077
6170,0.078
6180,0.076
6190,0.078
6200,0.078
6210,0.076
6220,0.081
6230,0.081
6240,0.080
6250,0.080
6260,0.079
6270,0.081
6280,0.080
6290,0.082
6300,0.079
6310,0.081
6320,0.080
6330,0.079
6340,0.084
6350,0.096
6360,0.084
6370,0.083
6380,0.080
6390,0.083
6400,0.081
6410,0.083
6420,0.082
6430,0.083
6440,0.100
6450,0.092
6460,0.085
6470,0.085
6480,0.082
6490,0.085
6500,0.084
6510,0.083
6520,0.082
6530,0.096
6540,0.085
6550,0.093
6560,0.084
6570,0.086
6580,0.086
6590,0.088
6600,0.084
6610,0.084
6620,0.085
6630,0.085
6640,0.083
6650,0.087
6660,0.085
6670,0.086
6680,0.085
6690,0.096
6700,0.085
6710,0.085
6720,0.085
6730,0.086
6740,0.088
6750,0.090
6760,0.091
6770,0.108
6780,0.088
6790,0.086
6800,0.087
6810,0.086
6820,0.086
6830,0.092
6840,0.084
6850,0.087
6860,0.087
6870,0.094
6880,0.088
6890,0.089
6900,0.091
6910,0.091
6920,0.089
6930,0.090
6940,0.089
6950,0.089
6960,0.088
6970,0.102
6980,0.091
6990,0.089
7000,0.125
7010,0.105
7020,0.104
7030,0.103
7040,0.102
7050,0.100
7060,0.101
7070,0.137
7080,0.143
7090,0.129
7100,0.103
7110,0.104
7120,0.102
7130,0.104
7140,0.114
7150,0.103
7160,0.110
7170,0.116
7180,0.108
7190,0.107
7200,0.108
7210,0.106
7220,0.106
7230,0.103
7240,0.106
7250,0.105
7260,0.133
7270,0.136
7280,0.105
7290,0.120
7300,0.173
7310,0.105
7320,0.105
